sweep,iteration,magnetization,magnetization_per_site,abs_magnetization_per_site,energy_per_site,acceptance_rate
74,18944,-20,-0.0781250000,0.0781250000,-1.3593750000,0.2265625000
75,19200,-2,-0.0078125000,0.0078125000,-1.3437500000,0.2070312500
76,19456,-18,-0.0703125000,0.0703125000,-1.3906250000,0.2500000000
77,19712,-20,-0.0781250000,0.0781250000,-1.3437500000,0.2148437500
78,19968,-10,-0.0390625000,0.0390625000,-1.2500000000,0.2226562500
79,20224,-12,-0.0468750000,0.0468750000,-1.2500000000,0.2539062500
80,20480,-26,-0.1015625000,0.1015625000,-1.2343750000,0.2226562500
81,20736,-20,-0.0781250000,0.0781250000,-1.2656250000,0.2382812500
82,20992,-30,-0.1171875000,0.1171875000,-1.3281250000,0.2539062500
83,21248,-24,-0.0937500000,0.0937500000,-1.3281250000,0.2304687500
84,21504,-16,-0.0625000000,0.0625000000,-1.2812500000,0.2265625000
85,21760,4,0.0156250000,0.0156250000,-1.3437500000,0.2109375000
86,22016,-4,-0.0156250000,0.0156250000,-1.2656250000,0.2421875000
87,22272,-28,-0.1093750000,0.1093750000,-1.3125000000,0.1875000000
88,22528,-52,-0.2031250000,0.2031250000,-1.3281250000,0.1484375000
89,22784,-46,-0.1796875000,0.1796875000,-1.2968750000,0.1992187500
90,23040,-56,-0.2187500000,0.2187500000,-1.2500000000,0.2226562500
91,23296,-38,-0.1484375000,0.1484375000,-1.2812500000,0.2382812500
92,23552,-24,-0.0937500000,0.0937500000,-1.2968750000,0.2382812500
93,23808,-40,-0.1562500000,0.1562500000,-1.2812500000,0.2187500000
94,24064,-40,-0.1562500000,0.1562500000,-1.3437500000,0.2109375000
95,24320,-44,-0.1718750000,0.1718750000,-1.3281250000,0.2500000000
96,24576,-14,-0.0546875000,0.0546875000,-1.3281250000,0.1835937500
97,24832,0,0.0000000000,0.0000000000,-1.4062500000,0.1914062500
98,25088,-4,-0.0156250000,0.0156250000,-1.3750000000,0.2421875000
99,25344,0,0.0000000000,0.0000000000,-1.3593750000,0.1953125000
100,25600,4,0.0156250000,0.0156250000,-1.3437500000,0.1875000000
101,25856,10,0.0390625000,0.0390625000,-1.4843750000,0.2304687500
102,26112,22,0.0859375000,0.0859375000,-1.5000000000,0.2031250000
103,26368,28,0.1093750000,0.1093750000,-1.5000000000,0.1914062500
104,26624,20,0.0781250000,0.0781250000,-1.4687500000,0.1328125000
105,26880,14,0.0546875000,0.0546875000,-1.3281250000,0.1914062500
106,27136,12,0.0468750000,0.0468750000,-1.3906250000,0.2460937500
107,27392,8,0.0312500000,0.0312500000,-1.3125000000,0.2500000000
108,27648,14,0.0546875000,0.0546875000,-1.3593750000,0.2539062500
109,27904,14,0.0546875000,0.0546875000,-1.2968750000,0.1875000000
110,28160,-6,-0.0234375000,0.0234375000,-1.1406250000,0.3046875000
111,28416,-8,-0.0312500000,0.0312500000,-1.2968750000,0.2695312500
112,28672,-24,-0.0937500000,0.0937500000,-1.3281250000,0.2187500000
113,28928,-22,-0.0859375000,0.0859375000,-1.4375000000,0.1601562500
114,29184,-24,-0.0937500000,0.0937500000,-1.4218750000,0.1601562500
115,29440,-26,-0.1015625000,0.1015625000,-1.4375000000,0.1445312500
116,29696,-28,-0.1093750000,0.1093750000,-1.4843750000,0.1523437500
117,29952,-12,-0.0468750000,0.0468750000,-1.3750000000,0.2031250000
118,30208,4,0.0156250000,0.0156250000,-1.3281250000,0.1953125000
119,30464,8,0.0312500000,0.0312500000,-1.2968750000,0.2109375000
120,30720,34,0.1328125000,0.1328125000,-1.2500000000,0.2617187500
121,30976,58,0.2265625000,0.2265625000,-1.3437500000,0.2734375000
122,31232,64,0.2500000000,0.2500000000,-1.2656250000,0.2226562500
123,31488,56,0.2187500000,0.2187500000,-1.2500000000,0.2812500000
124,31744,48,0.1875000000,0.1875000000,-1.1718750000,0.2812500000
125,32000,44,0.1718750000,0.1718750000,-1.2187500000,0.2109375000
126,32256,50,0.1953125000,0.1953125000,-1.2500000000,0.2304687500
127,32512,60,0.2343750000,0.2343750000,-1.3281250000,0.2695312500
128,32768,58,0.2265625000,0.2265625000,-1.2968750000,0.2460937500
129,33024,48,0.1875000000,0.1875000000,-1.4218750000,0.2304687500
130,33280,46,0.1796875000,0.1796875000,-1.3906250000,0.1914062500
131,33536,48,0.1875000000,0.1875000000,-1.3906250000,0.2304687500
132,33792,18,0.0703125000,0.0703125000,-1.3906250000,0.2617187500
133,34048,-12,-0.0468750000,0.0468750000,-1.2968750000,0.2304687500
134,34304,-8,-0.0312500000,0.0312500000,-1.2968750000,0.2187500000
135,34560,2,0.0078125000,0.0078125000,-1.3125000000,0.2617187500
136,34816,16,0.0625000000,0.0625000000,-1.3906250000,0.2226562500
137,35072,-12,-0.0468750000,0.0468750000,-1.3281250000,0.2343750000
138,35328,0,0.0000000000,0.0000000000,-1.3906250000,0.1875000000
139,35584,8,0.0312500000,0.0312500000,-1.3281250000,0.1875000000
140,35840,-16,-0.0625000000,0.0625000000,-1.3437500000,0.2265625000
141,36096,10,0.0390625000,0.0390625000,-1.3906250000,0.1601562500
142,36352,32,0.1250000000,0.1250000000,-1.2187500000,0.2304687500
143,36608,56,0.2187500000,0.2187500000,-1.4218750000,0.2265625000
144,36864,62,0.2421875000,0.2421875000,-1.3593750000,0.2226562500
145,37120,70,0.2734375000,0.2734375000,-1.3437500000,0.1953125000
146,37376,76,0.2968750000,0.2968750000,-1.4375000000,0.1992187500
147,37632,78,0.3046875000,0.3046875000,-1.4843750000,0.1679687500
148,37888,64,0.2500000000,0.2500000000,-1.5000000000,0.1601562500
149,38144,64,0.2500000000,0.2500000000,-1.4687500000,0.1718750000
150,38400,46,0.1796875000,0.1796875000,-1.3750000000,0.1992187500
151,38656,58,0.2265625000,0.2265625000,-1.3437500000,0.2031250000
152,38912,68,0.2656250000,0.2656250000,-1.3281250000,0.2070312500
153,39168,60,0.2343750000,0.2343750000,-1.3906250000,0.1796875000
154,39424,54,0.2109375000,0.2109375000,-1.2968750000,0.2539062500
155,39680,84,0.3281250000,0.3281250000,-1.2812500000,0.2460937500
156,39936,94,0.3671875000,0.3671875000,-1.2187500000,0.2539062500
157,40192,90,0.3515625000,0.3515625000,-1.2343750000,0.2187500000
158,40448,80,0.3125000000,0.3125000000,-1.3125000000,0.2773437500
159,40704,102,0.3984375000,0.3984375000,-1.3906250000,0.1914062500
160,40960,126,0.4921875000,0.4921875000,-1.3125000000,0.1796875000
161,41216,130,0.5078125000,0.5078125000,-1.3750000000,0.1953125000
162,41472,134,0.5234375000,0.5234375000,-1.3906250000,0.1953125000
163,41728,128,0.5000000000,0.5000000000,-1.3437500000,0.1992187500
164,41984,136,0.5312500000,0.5312500000,-1.3906250000,0.1328125000
165,42240,140,0.5468750000,0.5468750000,-1.5000000000,0.2265625000
166,42496,114,0.4453125000,0.4453125000,-1.3906250000,0.1679687500
167,42752,100,0.3906250000,0.3906250000,-1.4218750000,0.2070312500
168,43008,120,0.4687500000,0.4687500000,-1.4531250000,0.2265625000
169,43264,104,0.4062500000,0.4062500000,-1.4375000000,0.1718750000
170,43520,108,0.4218750000,0.4218750000,-1.4843750000,0.1640625000
171,43776,112,0.4375000000,0.4375000000,-1.4531250000,0.1484375000
172,44032,130,0.5078125000,0.5078125000,-1.4687500000,0.1367187500
173,44288,126,0.4921875000,0.4921875000,-1.4062500000,0.1796875000
174,44544,146,0.5703125000,0.5703125000,-1.4218750000,0.1953125000
175,44800,142,0.5546875000,0.5546875000,-1.4531250000,0.2109375000
176,45056,134,0.5234375000,0.5234375000,-1.4531250000,0.1718750000
177,45312,112,0.4375000000,0.4375000000,-1.3593750000,0.2382812500
178,45568,126,0.4921875000,0.4921875000,-1.6093750000,0.1523437500
179,45824,92,0.3593750000,0.3593750000,-1.4843750000,0.1601562500
180,46080,92,0.3593750000,0.3593750000,-1.4375000000,0.1796875000
181,46336,88,0.3437500000,0.3437500000,-1.3906250000,0.2109375000
182,46592,94,0.3671875000,0.3671875000,-1.4062500000,0.1914062500
183,46848,118,0.4609375000,0.4609375000,-1.5000000000,0.1640625000
