step,x,y,u
0,30,3,1.893885275402e-09
0,31,3,1.031476768676e-09
0,32,3,5.150697693369e-10
0,33,3,2.358161240425e-10
0,34,3,9.898781981294e-11
0,35,3,3.809700611026e-11
0,36,3,1.344314126144e-11
0,37,3,4.349221268647e-12
0,38,3,1.290099094152e-12
0,39,3,3.508612963399e-13
0,40,3,8.748803921682e-14
0,41,3,2.000150748394e-14
0,42,3,4.192543728823e-15
0,43,3,8.057369853424e-16
0,44,3,1.419743286675e-16
0,45,3,2.293650143182e-17
0,46,3,3.397389587441e-18
0,47,3,0.000000000000e+00
0,0,4,0.000000000000e+00
0,1,4,1.928096769261e-17
0,2,4,1.301699236153e-16
0,3,4,8.057369853424e-16
0,4,4,4.572742802462e-15
0,5,4,2.379365042035e-14
0,6,4,1.135131575805e-13
0,7,4,4.965147547003e-13
0,8,4,1.991218594513e-12
0,9,4,7.321609228027e-12
0,10,4,2.468283151241e-11
0,11,4,7.629292010173e-11
0,12,4,2.162092762963e-10
0,13,4,5.617786558336e-10
0,14,4,1.338310768323e-09
0,15,4,2.923139465294e-09
0,16,4,5.853868018564e-09
0,17,4,1.074823474574e-08
0,18,4,1.809389999692e-08
0,19,4,2.792724239902e-08
0,20,4,3.952071104409e-08
0,21,4,5.127696014906e-08
0,22,4,6.099870549178e-08
0,23,4,6.653034757384e-08
0,24,4,6.653034757384e-08
0,25,4,6.099870549178e-08
0,26,4,5.127696014906e-08
0,27,4,3.952071104409e-08
0,28,4,2.792724239902e-08
0,29,4,1.809389999692e-08
0,30,4,1.074823474574e-08
0,31,4,5.853868018564e-09
0,32,4,2.923139465294e-09
0,33,4,1.338310768323e-09
0,34,4,5.617786558336e-10
0,35,4,2.162092762963e-10
0,36,4,7.629292010173e-11
0,37,4,2.468283151241e-11
0,38,4,7.321609228027e-12
0,39,4,1.991218594513e-12
0,40,4,4.965147547003e-13
0,41,4,1.135131575805e-13
0,42,4,2.379365042035e-14
0,43,4,4.572742802462e-15
0,44,4,8.057369853424e-16
0,45,4,1.301699236153e-16
0,46,4,1.928096769261e-17
0,47,4,0.000000000000e+00
0,0,5,0.000000000000e+00
0,1,5,1.003259148529e-16
0,2,5,6.773216407616e-16
0,3,5,4.192543728823e-15
0,4,5,2.379365042035e-14
0,5,5,1.238070507750e-13
0,6,5,5.906504052940e-13
0,7,5,2.583547558267e-12
0,8,5,1.036103738938e-11
0,9,5,3.809700611026e-11
0,10,5,1.284337846586e-10
0,11,5,3.969799196820e-10
0,12,5,1.125015807812e-09
0,13,5,2.923139465294e-09
0,14,5,6.963719577255e-09
0,15,5,1.521016194693e-08
0,16,5,3.045981268956e-08
0,17,5,5.592698982286e-08
0,18,5,9.414916820505e-08
0,19,5,1.453156391146e-07
0,20,5,2.056406895311e-07
0,21,5,2.668127461155e-07
0,22,5,3.173985367783e-07
0,23,5,3.461816902677e-07
0,24,5,3.461816902677e-07
0,25,5,3.173985367783e-07
0,26,5,2.668127461155e-07
0,27,5,2.056406895311e-07
0,28,5,1.453156391146e-07
0,29,5,9.414916820505e-08
0,30,5,5.592698982286e-08
